"STATE","TOP RATED CHAIN","BEST ICONIC CHAIN","FAVORITE BREAKFAST","MOST SEARCHED FOR #1","MOST SEARCHED FOR #2","MOST SEARCHED FOR #3"
"Alabama","Daylight Donuts","Milo's","Chick-Fil-A","Dominos","Chick-Fil-A","Pizza Hut"
"Alaska","Papa Murphy'S Take 'N' Bake Pizza","Arctic Roadrunner","N/A","McDonald's","Dominos","Taco Bell"
"Arizona","LaMar's Donuts & Coffee","Eegee's","McDonald's","McDonald's","Starbucks","Chick-Fil-A"
"Arkansas","Chick-Fil-A","Slim Chickens","McDonald's","Dominos","Dominos","McDonald's"
"California","In-N-Out","In-N-Out","McDonald's","Starbucks","McDonald's","Chick-Fil-A"
"Colorado","LaMar's Donuts & Coffee","Good Times","Chick-Fil-A","Starbucks","McDonald's","Dominos"
"Connecticut","Chick-Fil-A","Ted's Restaurant","McDonald's","McDonald's","Starbucks","Dominos"
"Delaware","Chick-Fil-A","Capriotti's","Chick-Fil-A","Chick-Fil-A","Dominos","McDonald's"
"District of Columbia","","","Chick-Fil-A","Starbucks","McDonald's","Chick-Fil-A"
"Florida","Chick-Fil-A","PDQ","Chick-Fil-A","McDonald's","Chick-Fil-A","Starbucks"
"Georgia","Daylight Donuts","Waffle House","Chick-Fil-A","Chick-Fil-A","McDonald's","Dominos"
"Hawaii","Raisinig Cane's Chicken Fingers","Zippy's","McDonald's","McDonald's","Starbucks","Pizza Hut"
"Idaho","Chick-Fil-A","Westside Drive-in","McDonald's","Dominos","McDonald's","Pizza Hut"
"Illinois","Papa Murphy'S Take 'N' Bake Pizza","Portillo's","McDonald's","McDonald's","Starbucks","Dominos"
"Indiana","Chick-Fil-A","Schoop's Hamburgers","McDonald's","McDonald's","Pizza Hut","Papa John's"
"Iowa","Chick-Fil-A","Maid-Rite","Burger King","McDonald's","Pizza Hut","Dominos"
"Kansas","Chick-Fil-A","Spangles","McDonald's","Pizza Hut","McDonald's","Starbucks"
"Kentucky","Chick-Fil-A","Fazoli's","Burger King","Papa John's","McDonald's","Dominos"
"Louisiana","Chick-Fil-A","Raising Cane's","McDonald's","Dominos","Pizza Hut","McDonald's"
"Maine","Chick-Fil-A","Gifford's","McDonald's","Dominos","McDonald's","Starbucks"
"Maryland","Chick-Fil-A","Chaps Pit Beef","Chick-Fil-A","McDonald's","Chick-Fil-A","Dominos"
"Massachusetts","Chick-Fil-A","Dunkin'","McDonald's","McDonald's","Starbucks","Dominos"
"Michigan","Chick-Fil-A","National Coney Island","McDonald's","McDonald's","Little Caesars","Taco Bell"
"Minnesota","Chick-Fil-A","MyBurger","McDonald's","McDonald's","Dominos","Starbucks"
"Mississippi","Chick-Fil-A","Ward's","Burger King","Dominos","Dominos","McDonald's"
"Missouri","LaMar's Donuts & Coffee","Lion's Choice","Wendy's","Dominos","McDonald's","Pizza Hut"
"Montana","Chick-Fil-A","HuHot Mongolian Grill","Taco Bell","Dominos","Pizza Hut","McDonald's"
"Nebraska","LaMar's Donuts & Coffee","Don & Millie's","Chick-Fil-A","McDonald's","Pizza Hut","Dominos"
"Nevada","In-N-Out","Port of Subs","McDonald's","Starbucks","McDonald's","Dominos"
"New Hampshire","Chick-Fil-A","Moe's Italian Sandwiches","McDonald's","Dominos","McDonald's","Starbucks"
"New Jersey","Chick-Fil-A","Jersey Mike's","McDonald's","McDonald's","Starbucks","Dominos"
"New Mexico","Chick-Fil-A","Blake's Lotaburger","McDonald's","Dominos","McDonald's","Starbucks"
"New York","Chick-Fil-A","Shake Shack","McDonald's","Starbucks","McDonald's","Dominos"
"North Carolina","Raisinig Cane's Chicken Fingers","Cook Out","Chick-Fil-A","Chick-Fil-A","Dominos","McDonald's"
"North Dakota","Chick-Fil-A","Burger Time","McDonald's","McDonald's","Dominos","Papa John's"
"Ohio","Chick-Fil-A","Gold Star Chili","McDonald's","McDonald's","Dominos","Chipotle"
"Oklahoma","Chick-Fil-A","Braum's","Chick-Fil-A","McDonald's","Dominos","Pizza Hut"
"Oregon","Chick-Fil-A","Burgerville","McDonald's","McDonald's","Starbucks","Dominos"
"Pennsylvania","Krispy Kreme Doughnuts","Wawa","McDonald's","McDonald's","Chick-Fil-A","Dominos"
"Rhode Island","Chick-Fil-A","Del's","McDonald's","Dominos","McDonald's","Starbucks"
"South Carolina","Chick-Fil-A","Rush's'","Chick-Fil-A","Chick-Fil-A","McDonald's","Dominos"
"South Dakota","Papa Murphy'S Take 'N' Bake Pizza","Nick's Hamburger Shop","McDonald's","McDonald's","Dominos","Pizza Hut"
"Tennessee","Shipley Do-nuts","Pal's Sudden Service","Chick-Fil-A","Chick-Fil-A","Dominos","McDonald's"
"Texas","Chick-Fil-A","Whataburger","Chick-Fil-A","Chick-Fil-A","McDonald's","McDonald's"
"Utah","Chick-Fil-A","Arctic Circle","McDonald's","McDonald's","Dominos","Chich-Fil-A"
"Vermont","Five Guys","Al's French Frys","McDonald's","Dominos","McDonald's","Starbucks"
"Virginia","Chick-Fil-A","Five Guys","McDonald's","Chick-Fil-A","McDonald's","Starbucks"
"Washington","Chick-Fil-A","Taco Time Northwest","Chick-Fil-A","Starbucks","McDonald's","Dominos"
"West Virginia","Chick-Fil-A","Tudor's Biscuit World","McDonald's","Dominos","Dominos","Pizza Hut"
"Wisconsin","Chick-Fil-A","Culver's","McDonald's","McDonald's","Dominos","Pizza Hut"
"Wyoming","Chick-Fil-A","Taco John's","McDonald's","Dominos","Pizza Hut","McDonald's"